"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","Year_since_Release","Decade","Platform_Company","Platform_Gen","Family_Platform","Main_Developer","Developer_Country","Main_Publisher"
"Wii Sports","Wii",2006,"Sports","Nintendo",41.36,28.96,3.77,8.45,82.53,76,51,78,322,"Nintendo","E",10,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Mario Kart Wii","Wii",2008,"Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,82,73,81,709,"Nintendo","E",8,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Wii Sports Resort","Wii",2009,"Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,80,73,78,192,"Nintendo","E",7,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"New Super Mario Bros.","DS",2006,"Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,89,65,83,431,"Nintendo","E",10,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Wii Play","Wii",2006,"Misc","Nintendo",13.96,9.18,2.93,2.84,28.92,58,41,64,129,"Nintendo","E",10,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"New Super Mario Bros. Wii","Wii",2009,"Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,87,80,82,594,"Nintendo","E",7,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Mario Kart DS","DS",2005,"Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,91,64,84,464,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Wii Fit","Wii",2007,"Sports","Nintendo",8.92,8.03,3.6,2.15,22.7,80,63,75,146,"Nintendo","E",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Kinect Adventures!","X360",2010,"Misc","Microsoft Game Studios",15,4.89,0.24,1.69,21.81,61,45,61,106,"Good Science Studio","E",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Wii Fit Plus","Wii",2009,"Sports","Nintendo",9.01,8.49,2.53,1.77,21.79,80,33,72,52,"Nintendo","E",7,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Grand Theft Auto V","PS3",2013,"Action","Take-Two Interactive",7.02,9.09,0.98,3.96,21.04,97,50,80,3994,"Rockstar North","M",3,"10s","SONY","7th Gen","SONY_PS","Other","Other","Sega"
"Grand Theft Auto: San Andreas","PS2",2004,"Action","Take-Two Interactive",9.43,0.4,0.41,10.57,20.81,95,80,88,1588,"Rockstar North","M",12,"00s","SONY","6th Gen","SONY_PS","Other","Other","Sega"
"Brain Age: Train Your Brain in Minutes a Day","DS",2005,"Misc","Nintendo",4.74,9.2,4.16,2.04,20.15,77,58,77,50,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Grand Theft Auto V","X360",2013,"Action","Take-Two Interactive",9.66,5.14,0.06,1.41,16.27,97,58,79,3711,"Rockstar North","M",3,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega"
"Grand Theft Auto: Vice City","PS2",2002,"Action","Take-Two Interactive",8.41,5.49,0.47,1.78,16.15,95,62,85,730,"Rockstar North","M",14,"00s","SONY","6th Gen","SONY_PS","Other","Other","Sega"
"Brain Age 2: More Training in Minutes a Day","DS",2005,"Puzzle","Nintendo",3.43,5.35,5.32,1.18,15.29,77,37,69,19,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Gran Turismo 3: A-Spec","PS2",2001,"Racing","Sony Computer Entertainment",6.85,5.09,1.87,1.16,14.98,95,54,82,314,"Polyphony Digital","E",15,"00s","SONY","6th Gen","SONY_PS","SONY","Japan","SONY"
"Call of Duty: Modern Warfare 3","X360",2011,"Shooter","Activision",9.04,4.24,0.13,1.32,14.73,88,81,32,8713,"Infinity Ward, Sledgehammer Games","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard"
"Call of Duty: Black Ops","X360",2010,"Shooter","Activision",9.7,3.68,0.11,1.13,14.61,87,89,61,1454,"Treyarch","M",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Activision Blizzard","US","Activision Blizzard"
"Call of Duty: Black Ops II","PS3",2012,"Shooter","Activision",4.99,5.73,0.65,2.42,13.79,83,21,51,922,"Treyarch","M",4,"10s","SONY","7th Gen","SONY_PS","Activision Blizzard","US","Activision Blizzard"
"Call of Duty: Black Ops II","X360",2012,"Shooter","Activision",8.25,4.24,0.07,1.12,13.67,83,73,46,2256,"Treyarch","M",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","Activision Blizzard","US","Activision Blizzard"
"Call of Duty: Modern Warfare 2","X360",2009,"Shooter","Activision",8.52,3.59,0.08,1.28,13.47,94,100,61,2698,"Infinity Ward","M",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard"
"Call of Duty: Modern Warfare 3","PS3",2011,"Shooter","Activision",5.54,5.73,0.49,1.57,13.32,88,39,30,5234,"Infinity Ward, Sledgehammer Games","M",5,"10s","SONY","7th Gen","SONY_PS","Other","Other","Activision Blizzard"
"Grand Theft Auto III","PS2",2001,"Action","Take-Two Interactive",6.99,4.51,0.3,1.3,13.1,97,56,83,664,"DMA Design","M",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Sega"
"Super Smash Bros. Brawl","Wii",2008,"Fighting","Nintendo",6.62,2.55,2.66,1.01,12.84,93,81,87,1662,"Game Arts","T",8,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Nintendo"
"Mario Kart 7","3DS",2011,"Racing","Nintendo",5.03,4.02,2.69,0.91,12.66,85,73,80,632,"Retro Studios, Entertainment Analysis & Development Division","E",5,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Call of Duty: Black Ops","PS3",2010,"Shooter","Activision",5.99,4.37,0.48,1.79,12.63,88,58,62,1094,"Treyarch","M",6,"00s","SONY","7th Gen","SONY_PS","Activision Blizzard","US","Activision Blizzard"
"Grand Theft Auto V","PS4",2014,"Action","Take-Two Interactive",3.96,6.31,0.38,1.97,12.61,97,66,81,2899,"Rockstar North","M",2,"10s","SONY","8th Gen","SONY_PS","Other","Other","Sega"
"Animal Crossing: Wild World","DS",2005,"Simulation","Nintendo",2.5,3.45,5.33,0.86,12.13,86,57,85,242,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Halo 3","X360",2007,"Shooter","Microsoft Game Studios",7.97,2.81,0.13,1.21,12.12,94,86,76,4100,"Bungie Software, Bungie","M",9,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Gran Turismo 4","PS2",2004,"Racing","Sony Computer Entertainment",3.01,0.01,1.1,7.53,11.66,89,74,83,272,"Polyphony Digital","E",12,"00s","SONY","6th Gen","SONY_PS","SONY","Japan","SONY"
"Super Mario Galaxy","Wii",2007,"Platform","Nintendo",6.06,3.35,1.2,0.74,11.35,97,73,87,2147,"Nintendo","E",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Grand Theft Auto IV","X360",2008,"Action","Take-Two Interactive",6.76,3.07,0.14,1.03,11.01,98,86,77,2951,"Rockstar North","M",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega"
"Gran Turismo","PS",1997,"Racing","Sony Computer Entertainment",4.02,3.87,2.54,0.52,10.95,96,16,85,138,"Polyphony Digital","E",19,"90s","SONY","5th Gen","SONY_PS","SONY","Japan","SONY"
"Super Mario 3D Land","3DS",2011,"Platform","Nintendo",4.89,3,2.14,0.78,10.81,90,82,82,921,"Nintendo","E",5,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Gran Turismo 5","PS3",2010,"Racing","Sony Computer Entertainment",2.96,4.82,0.81,2.11,10.7,84,82,73,1112,"Polyphony Digital","E",6,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Call of Duty: Modern Warfare 2","PS3",2009,"Shooter","Activision",4.99,3.64,0.38,1.6,10.6,94,67,61,2073,"Infinity Ward","M",7,"00s","SONY","7th Gen","SONY_PS","Other","Other","Activision Blizzard"
