"Platform","Year_of_Release","Genre","Publisher","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","Year_since_Release","Decade","Platform_Company","Platform_Gen","Family_Platform","Main_Developer","Developer_Country","Main_Publisher","Region","Sales"
"Wii",2006,"Sports","Nintendo",76,51,78,322,"Nintendo","E",10,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",41.36
"Wii",2008,"Racing","Nintendo",82,73,81,709,"Nintendo","E",8,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",15.68
"Wii",2009,"Sports","Nintendo",80,73,78,192,"Nintendo","E",7,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",15.61
"DS",2006,"Platform","Nintendo",89,65,83,431,"Nintendo","E",10,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",11.28
"Wii",2006,"Misc","Nintendo",58,41,64,129,"Nintendo","E",10,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",13.96
"Wii",2009,"Platform","Nintendo",87,80,82,594,"Nintendo","E",7,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",14.44
"DS",2005,"Racing","Nintendo",91,64,84,464,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",9.71
"Wii",2007,"Sports","Nintendo",80,63,75,146,"Nintendo","E",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",8.92
"X360",2010,"Misc","Microsoft Game Studios",61,45,61,106,"Good Science Studio","E",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",15
"Wii",2009,"Sports","Nintendo",80,33,72,52,"Nintendo","E",7,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",9.01
"PS3",2013,"Action","Take-Two Interactive",97,50,80,3994,"Rockstar North","M",3,"10s","SONY","7th Gen","SONY_PS","Other","Other","Sega","NA_Sales",7.02
"PS2",2004,"Action","Take-Two Interactive",95,80,88,1588,"Rockstar North","M",12,"00s","SONY","6th Gen","SONY_PS","Other","Other","Sega","NA_Sales",9.43
"DS",2005,"Misc","Nintendo",77,58,77,50,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",4.74
"X360",2013,"Action","Take-Two Interactive",97,58,79,3711,"Rockstar North","M",3,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega","NA_Sales",9.66
"PS2",2002,"Action","Take-Two Interactive",95,62,85,730,"Rockstar North","M",14,"00s","SONY","6th Gen","SONY_PS","Other","Other","Sega","NA_Sales",8.41
"DS",2005,"Puzzle","Nintendo",77,37,69,19,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",3.43
"PS2",2001,"Racing","Sony Computer Entertainment",95,54,82,314,"Polyphony Digital","E",15,"00s","SONY","6th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",6.85
"X360",2011,"Shooter","Activision",88,81,32,8713,"Infinity Ward, Sledgehammer Games","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard","NA_Sales",9.04
"X360",2010,"Shooter","Activision",87,89,61,1454,"Treyarch","M",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Activision Blizzard","US","Activision Blizzard","NA_Sales",9.7
"PS3",2012,"Shooter","Activision",83,21,51,922,"Treyarch","M",4,"10s","SONY","7th Gen","SONY_PS","Activision Blizzard","US","Activision Blizzard","NA_Sales",4.99
"X360",2012,"Shooter","Activision",83,73,46,2256,"Treyarch","M",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","Activision Blizzard","US","Activision Blizzard","NA_Sales",8.25
"X360",2009,"Shooter","Activision",94,100,61,2698,"Infinity Ward","M",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard","NA_Sales",8.52
"PS3",2011,"Shooter","Activision",88,39,30,5234,"Infinity Ward, Sledgehammer Games","M",5,"10s","SONY","7th Gen","SONY_PS","Other","Other","Activision Blizzard","NA_Sales",5.54
"PS2",2001,"Action","Take-Two Interactive",97,56,83,664,"DMA Design","M",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Sega","NA_Sales",6.99
"Wii",2008,"Fighting","Nintendo",93,81,87,1662,"Game Arts","T",8,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Nintendo","NA_Sales",6.62
"3DS",2011,"Racing","Nintendo",85,73,80,632,"Retro Studios, Entertainment Analysis & Development Division","E",5,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",5.03
"PS3",2010,"Shooter","Activision",88,58,62,1094,"Treyarch","M",6,"00s","SONY","7th Gen","SONY_PS","Activision Blizzard","US","Activision Blizzard","NA_Sales",5.99
"PS4",2014,"Action","Take-Two Interactive",97,66,81,2899,"Rockstar North","M",2,"10s","SONY","8th Gen","SONY_PS","Other","Other","Sega","NA_Sales",3.96
"DS",2005,"Simulation","Nintendo",86,57,85,242,"Nintendo","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",2.5
"X360",2007,"Shooter","Microsoft Game Studios",94,86,76,4100,"Bungie Software, Bungie","M",9,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",7.97
"PS2",2004,"Racing","Sony Computer Entertainment",89,74,83,272,"Polyphony Digital","E",12,"00s","SONY","6th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",3.01
"Wii",2007,"Platform","Nintendo",97,73,87,2147,"Nintendo","E",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo","NA_Sales",6.06
"X360",2008,"Action","Take-Two Interactive",98,86,77,2951,"Rockstar North","M",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega","NA_Sales",6.76
"PS",1997,"Racing","Sony Computer Entertainment",96,16,85,138,"Polyphony Digital","E",19,"90s","SONY","5th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",4.02
"3DS",2011,"Platform","Nintendo",90,82,82,921,"Nintendo","E",5,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",4.89
"PS3",2010,"Racing","Sony Computer Entertainment",84,82,73,1112,"Polyphony Digital","E",6,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY","NA_Sales",2.96
"PS3",2009,"Shooter","Activision",94,67,61,2073,"Infinity Ward","M",7,"00s","SONY","7th Gen","SONY_PS","Other","Other","Activision Blizzard","NA_Sales",4.99
"PS3",2008,"Action","Take-Two Interactive",98,64,73,2833,"Rockstar North","M",8,"00s","SONY","7th Gen","SONY_PS","Other","Other","Sega","NA_Sales",4.76
"X360",2013,"Shooter","Activision",73,29,24,2117,"Infinity Ward","M",3,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard","NA_Sales",6.73
"Wii",2011,"Misc","Ubisoft",74,15,76,16,"Ubisoft","E10+",5,"10s","Nintendo","7th Gen","Nintendo_Wii","Ubisoft","France","Ubisoft","NA_Sales",5.95
"3DS",2012,"Platform","Nintendo",78,70,70,424,"Nintendo","E",4,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo","NA_Sales",3.66
"X360",2010,"Shooter","Microsoft Game Studios",91,99,77,2045,"Bungie","M",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Microsoft","US","Microsoft","NA_Sales",7.04
